file,class,method,variable,usage
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldUpdateOwner/0,oldLastName,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldUpdateOwner/0,newLastName,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldUpdateOwner/0,optionalOwner,5
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldFindAllPetTypes/0,petType4,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldFindAllPetTypes/0,petTypes,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/service/ClinicServiceTests.java,org.springframework.samples.petclinic.service.ClinicServiceTests,shouldFindAllPetTypes/0,petType1,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/vet/Vet.java,org.springframework.samples.petclinic.vet.Vet,addSpecialty/1[org.springframework.samples.petclinic.vet.Specialty],specialty,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests$ProcessCreationFormHasErrors,testProcessCreationFormWithInvalidBirthDate/0,futureBirthDate,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/owner/PetControllerTests.java,org.springframework.samples.petclinic.owner.PetControllerTests$ProcessCreationFormHasErrors,testProcessCreationFormWithInvalidBirthDate/0,currentDate,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/model/ValidatorTests.java,org.springframework.samples.petclinic.model.ValidatorTests,shouldNotValidateWhenFirstNameEmpty/0,constraintViolations,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/model/ValidatorTests.java,org.springframework.samples.petclinic.model.ValidatorTests,shouldNotValidateWhenFirstNameEmpty/0,person,3
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/model/ValidatorTests.java,org.springframework.samples.petclinic.model.ValidatorTests,shouldNotValidateWhenFirstNameEmpty/0,violation,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/model/ValidatorTests.java,org.springframework.samples.petclinic.model.ValidatorTests,shouldNotValidateWhenFirstNameEmpty/0,validator,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/model/ValidatorTests.java,org.springframework.samples.petclinic.model.ValidatorTests,createValidator/0,localValidatorFactoryBean,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/vet/VetControllerTests.java,org.springframework.samples.petclinic.vet.VetControllerTests,testShowResourcesVetList/0,actions,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/vet/VetControllerTests.java,org.springframework.samples.petclinic.vet.VetControllerTests,helen/0,helen,5
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/vet/VetControllerTests.java,org.springframework.samples.petclinic.vet.VetControllerTests,helen/0,radiology,3
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/test/java/org/springframework/samples/petclinic/vet/VetControllerTests.java,org.springframework.samples.petclinic.vet.VetControllerTests,james/0,james,4
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/vet/VetController.java,org.springframework.samples.petclinic.vet.VetController,"showVetList/2[int,org.springframework.samples.petclinic.vet.Model]",paginated,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/vet/VetController.java,org.springframework.samples.petclinic.vet.VetController,"showVetList/2[int,org.springframework.samples.petclinic.vet.Model]",vets,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/vet/VetController.java,org.springframework.samples.petclinic.vet.VetController,"showVetList/2[int,org.springframework.samples.petclinic.vet.Model]",model,1
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/vet/VetController.java,org.springframework.samples.petclinic.vet.VetController,"showVetList/2[int,org.springframework.samples.petclinic.vet.Model]",page,2
/Users/joaopauloaramuni/Downloads/Projeto CK Metrics Extractor/repo/src/main/java/org/springframework/samples/petclinic/vet/VetController.java,org.springframework.samples.petclinic.vet.VetController,findPaginated/1[int],pageSize,1
